SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1160 Mission St #612,San Francisco,CA,94103,308053,1,1.0,South of Market,662,,2008,34,465,731,Active,,,http://www.redfin.com/CA/San-Francisco/1160-Mission-St-94103/unit-612/home/17305349,San Francisco MLS,510435,N,Y,37.7787037,-122.4126341
MLS Listing,,Condo/Co-op,10 Mint Plz #3,San Francisco,CA,94103,1350000,2,2.0,South of Market,1559,,2006,34,866,1571,Active,,,http://www.redfin.com/CA/San-Francisco/10-Mint-Plz-94103/unit-3/home/11743332,San Francisco MLS,510432,N,Y,37.7828831,-122.4080232
MLS Listing,,Condo/Co-op,280 Spear St Unit 15C,San Francisco,CA,94105,1650000,2,2.0,South Beach,1204,,2020,35,1370,1230,Active,,,http://www.redfin.com/CA/San-Francisco/280-Spear-St-94105/unit-15C/home/163739851,San Francisco MLS,510418,N,Y,37.7903739,-122.3913812
MLS Listing,,Condo/Co-op,431 26th Ave,SAN FRANCISCO,CA,94121,1628888,4,3.0,SAN FRANCISCO,2158,3372,2010,36,755,135,Active,,,http://www.redfin.com/CA/San-Francisco/431-26th-Ave-94121/home/45441943,MLSListings,ML81821019,N,Y,37.781332,-122.486254
MLS Listing,,Condo/Co-op,1788 Clay St #301,San Francisco,CA,94109,985000,1,1.0,Nob Hill,750,,2014,36,1313,659,Active,,,http://www.redfin.com/CA/San-Francisco/1788-Clay-St-94109/unit-301/home/110051422,San Francisco MLS,508324,N,Y,37.7925699,-122.4222498
MLS Listing,,Multi-Family (2-4 Unit),2918-2920 Sloat Blvd,San Francisco,CA,94116,1950000,6,5.0,Outer Parkside,2790,1526,1997,36,699,,Active,,,http://www.redfin.com/CA/San-Francisco/2918-Sloat-Blvd-94116/home/148074406,San Francisco MLS,510195,N,Y,37.7357117,-122.505512
MLS Listing,,Condo/Co-op,1206 Ridge Ct,San Francisco,CA,94134,768000,3,2.0,Crocker Amazon,1200,,1990,36,640,369,Active,,,http://www.redfin.com/CA/San-Francisco/1206-Ridge-Ct-94134/home/1934496,San Francisco MLS,510395,N,Y,37.7093458,-122.4255778
MLS Listing,,Condo/Co-op,2040 Franklin St #1009,San Francisco,CA,94109,1300000,2,2.0,Pacific Heights,1630,,1966,36,798,1012,Active,,,http://www.redfin.com/CA/San-Francisco/2040-Franklin-St-94109/unit-1009/home/1296489,San Francisco MLS,509985,N,Y,37.7935189,-122.4243158
MLS Listing,,Single Family Residential,2559 47th Ave,San Francisco,CA,94116,1180000,3,2.5,Outer Parkside,1300,2996,1949,38,908,,Active,,,http://www.redfin.com/CA/San-Francisco/2559-47th-Ave-94116/home/992818,San Francisco MLS,510377,N,Y,37.7387479,-122.5057299
MLS Listing,,Single Family Residential,1923 32nd Ave,San Francisco,CA,94116,1349000,7,5.0,Parkside,3375,3000,1947,38,400,,Active,,,http://www.redfin.com/CA/San-Francisco/1923-32nd-Ave-94116/home/1969801,San Francisco MLS,510355,N,Y,37.7512683,-122.4905276
